ts,model,custom_id,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens
2026-07-10T01:56:38,claude-sonnet-5,ML26140A011,3128,4461,0,12917
2026-07-10T01:56:38,claude-sonnet-5,ML26127A309,1980,3542,0,12917
2026-07-10T01:56:38,claude-sonnet-5,ML26114A183,1361,3201,0,12917
2026-07-10T01:56:38,claude-sonnet-5,ML25122A139,1651,3348,0,12917
2026-07-10T01:56:38,claude-sonnet-5,ML26022A036,1992,3288,12917,0
2026-07-10T01:56:38,claude-sonnet-5,ML26127A317,2210,4772,0,12917
2026-07-10T01:56:38,claude-sonnet-5,ML26146A061,2624,2636,0,12917
2026-07-10T01:56:38,claude-sonnet-5,ML26149A009,2162,5190,0,12917
2026-07-10T01:56:38,claude-sonnet-5,ML26119A585,1984,3839,0,12917
2026-07-10T01:56:38,claude-sonnet-5,ML26125A399,1064,3100,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML23122A016,1517,3326,12917,0
2026-07-12T22:03:08,claude-sonnet-5,ML21182A291,7226,5107,12917,0
2026-07-12T22:03:08,claude-sonnet-5,ML23346A154,2948,4072,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21172A302,355,1510,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21105A850,4530,5795,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21078A049,371,1277,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25258A159,3878,4996,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML24312A416,348,899,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML23275A053,358,1612,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25226A035,1333,3734,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML20234A417,2762,4755,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML20330A283,492,1985,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21064A212,2336,6358,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25156A246,1449,4235,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25303A285,2317,4793,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25342A007,1361,3028,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25205A149,386,1699,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21315A006,4683,4131,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML22159A196,3478,4026,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML22101A186,1856,3290,12917,0
2026-07-12T22:03:08,claude-sonnet-5,ML20171A393,3015,5359,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25174A283,1337,3528,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML24330A060,3382,4722,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML22304A009,3172,4033,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21271A271,2391,5238,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML20170A531,2597,4084,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML24022A224,402,1056,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML20188A257,5192,4409,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML24116A117,1610,3986,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML23364A001,439,1560,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML26075C887,2740,4340,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML26044A254,510,1019,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25268A050,1850,5131,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21305A874,375,1259,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML26023A162,2733,5597,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25314A119,2016,3153,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML23306A048,1176,2717,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML23107A190,2415,3976,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML22151A121,1611,3098,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML24234A326,624,2258,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21320A354,1143,3974,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25293A384,1869,4338,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML20311A129,2301,3657,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21140A411,1709,3110,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML24177A322,2425,3495,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21119A005,2540,5065,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25258A204,2134,4207,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25274A095,1661,4342,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21175A057,4352,4762,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML23145A178,680,3467,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML22160A432,659,1371,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21172A303,1893,3743,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML22049B535,375,905,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML22075A087,4158,5701,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25254A061,4331,5224,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML21363A084,2752,3950,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25351A150,1869,2854,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML25295A315,2509,3558,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML24250A179,3258,3685,0,12917
2026-07-12T22:03:08,claude-sonnet-5,ML22089A238,925,3236,0,12917
